Participant,Character,Context,Verifiable,Low_Confidence,FALSE,Repetition,Character_Swap,Location_Swap,Other
101,Tommy,Delta,19,0,0,0,0,0,2
101,Tommy,CoOp,7,0,1,0,0,0,1
101,Tommy,Mishkas,12,0,0,1,0,0,4
101,Tommy,Nugget,15,1,0,0,0,0,1
101,Lisa,Delta,13,0,0,0,0,4,1
101,Lisa,CoOp,12,1,1,0,0,0,2
101,Lisa,Mishkas,14,0,0,1,0,11,1
101,Lisa,Nugget,13,0,1,0,0,0,2
102,Tommy,Delta,13,0,0,0,0,0,1
102,Tommy,CoOp,9,1,0,1,0,0,0
102,Tommy,Mishkas,10,1,1,2,0,0,1
102,Tommy,Nugget,11,4,0,0,0,0,0
102,Lisa,Delta,11,0,0,0,0,0,1
102,Lisa,CoOp,14,0,0,1,0,0,0
102,Lisa,Mishkas,16,0,0,2,0,0,0
102,Lisa,Nugget,14,0,2,0,0,0,0
103,Tommy,Delta,16,0,0,0,0,0,0
103,Tommy,CoOp,11,0,0,0,0,0,1
103,Tommy,Mishkas,16,0,0,0,0,0,0
103,Tommy,Nugget,14,0,0,0,0,0,0
103,Lisa,Delta,13,0,0,0,0,0,0
103,Lisa,CoOp,15,0,0,0,0,0,0
103,Lisa,Mishkas,11,0,0,0,0,0,0
103,Lisa,Nugget,15,0,0,0,0,0,1
104,Tommy,Delta,16,2,0,0,0,0,3
104,Tommy,CoOp,14,2,0,0,0,0,0
104,Tommy,Mishkas,12,3,0,0,0,0,1
104,Tommy,Nugget,13,4,0,0,0,0,1
104,Lisa,Delta,14,3,0,0,0,0,1
104,Lisa,CoOp,9,3,0,0,0,0,1
104,Lisa,Mishkas,10,3,0,0,0,0,3
104,Lisa,Nugget,11,2,0,0,0,0,2
105,Tommy,Delta,8,3,0,0,0,0,2
105,Tommy,CoOp,4,6,0,0,0,0,1
105,Tommy,Mishkas,10,3,0,0,0,0,1
105,Tommy,Nugget,4,2,1,0,0,0,5
105,Lisa,Delta,12,2,0,0,1,0,1
105,Lisa,CoOp,10,3,0,0,0,0,1
105,Lisa,Mishkas,11,4,0,0,0,0,1
105,Lisa,Nugget,12,0,0,0,0,0,3
106,Tommy,Delta,17,0,3,0,0,0,3
106,Tommy,CoOp,15,7,0,0,0,0,0
106,Tommy,Mishkas,12,6,0,0,0,0,1
106,Tommy,Nugget,10,8,0,0,0,0,0
106,Lisa,Delta,14,6,0,0,0,0,1
106,Lisa,CoOp,9,2,3,0,0,0,1
106,Lisa,Mishkas,10,2,0,0,0,0,1
106,Lisa,Nugget,11,1,1,0,0,0,1
107,Tommy,Delta,12,0,1,1,0,0,4
107,Tommy,CoOp,15,2,1,0,0,0,0
107,Tommy,Mishkas,20,0,0,0,0,0,2
107,Tommy,Nugget,15,2,1,0,0,0,2
107,Lisa,Delta,17,0,1,0,0,0,2
107,Lisa,CoOp,9,1,0,0,0,0,3
107,Lisa,Mishkas,13,0,0,0,0,0,9
107,Lisa,Nugget,16,0,0,0,0,0,1
108,Tommy,Delta,14,0,0,0,0,0,2
108,Tommy,CoOp,18,0,1,2,0,0,1
108,Tommy,Mishkas,10,0,0,0,0,24,0
108,Tommy,Nugget,15,0,3,0,0,0,0
108,Lisa,Delta,17,0,0,1,0,0,1
108,Lisa,CoOp,10,0,0,1,0,21,1
108,Lisa,Mishkas,13,0,0,0,0,0,1
108,Lisa,Nugget,11,0,0,0,0,19,2
109,Tommy,Delta,5,0,1,0,0,0,4
109,Tommy,CoOp,8,0,3,0,0,0,2
109,Tommy,Mishkas,5,1,0,0,0,0,0
109,Tommy,Nugget,4,1,2,0,0,0,2
109,Lisa,Delta,9,0,0,0,0,0,6
109,Lisa,CoOp,11,0,3,0,0,0,13
109,Lisa,Mishkas,13,0,0,0,0,0,3
109,Lisa,Nugget,6,0,2,0,0,5,4
110,Tommy,Delta,12,7,0,0,0,0,5
110,Tommy,CoOp,15,13,3,0,0,0,1
110,Tommy,Mishkas,7,0,0,0,0,9,10
110,Tommy,Nugget,13,4,0,0,0,0,4
110,Lisa,Delta,13,11,3,0,0,0,2
110,Lisa,CoOp,10,10,3,0,0,0,3
110,Lisa,Mishkas,15,8,0,0,0,0,7
110,Lisa,Nugget,18,5,0,0,0,0,1
111,Tommy,Delta,13,3,0,0,0,0,3
111,Tommy,CoOp,15,5,3,0,0,0,1
111,Tommy,Mishkas,14,3,0,0,0,0,1
111,Tommy,Nugget,6,7,0,0,0,0,1
111,Lisa,Delta,10,8,0,0,0,0,1
111,Lisa,CoOp,15,6,1,1,0,0,1
111,Lisa,Mishkas,19,0,0,0,0,0,0
111,Lisa,Nugget,8,7,0,0,6,0,0
112,Tommy,Delta,26,1,0,0,0,0,0
112,Tommy,CoOp,22,3,3,0,0,0,1
112,Tommy,Mishkas,23,2,3,0,0,0,2
112,Tommy,Nugget,22,1,0,0,0,0,0
112,Lisa,Delta,12,4,0,0,0,0,1
112,Lisa,CoOp,10,0,0,0,0,0,5
112,Lisa,Mishkas,16,0,0,0,0,17,1
112,Lisa,Nugget,16,0,0,0,0,0,2
113,Tommy,Delta,26,0,0,1,0,0,2
113,Tommy,CoOp,22,0,1,0,0,0,0
113,Tommy,Mishkas,20,1,1,0,0,0,0
113,Tommy,Nugget,17,2,3,0,0,0,2
113,Lisa,Delta,18,0,0,0,0,0,1
113,Lisa,CoOp,21,2,0,2,0,0,1
113,Lisa,Mishkas,16,0,1,0,0,0,3
113,Lisa,Nugget,19,0,2,0,0,0,1
114,Tommy,Delta,19,1,0,2,0,0,0
114,Tommy,CoOp,16,0,3,0,0,0,0
114,Tommy,Mishkas,11,2,1,1,0,0,1
114,Tommy,Nugget,21,2,0,0,1,0,0
114,Lisa,Delta,14,0,0,0,0,0,1
114,Lisa,CoOp,9,3,2,2,0,0,0
114,Lisa,Mishkas,12,0,2,1,0,0,2
114,Lisa,Nugget,18,0,0,2,0,0,0
116,Tommy,Delta,16,0,2,0,0,0,0
116,Tommy,CoOp,15,0,0,0,0,0,2
116,Tommy,Mishkas,18,0,1,0,0,0,2
116,Tommy,Nugget,29,0,0,0,0,0,0
116,Lisa,Delta,14,3,0,0,0,0,1
116,Lisa,CoOp,19,0,3,0,0,0,1
116,Lisa,Mishkas,16,0,0,2,0,17,1
116,Lisa,Nugget,25,0,2,0,0,0,5
117,Tommy,Delta,15,0,1,3,0,0,1
117,Tommy,CoOp,15,5,1,0,0,0,0
117,Tommy,Mishkas,21,4,0,2,0,0,0
117,Tommy,Nugget,12,1,0,2,0,0,1
117,Lisa,Delta,11,0,0,0,0,0,0
117,Lisa,CoOp,12,0,0,1,0,0,2
117,Lisa,Mishkas,19,0,0,1,0,0,1
117,Lisa,Nugget,18,0,4,1,0,0,1
119,Tommy,Delta,13,0,0,0,0,0,0
119,Tommy,CoOp,13,0,2,0,0,0,0
119,Tommy,Mishkas,9,0,0,0,0,0,1
119,Tommy,Nugget,18,0,0,0,0,0,0
119,Lisa,Delta,9,0,0,0,0,0,0
119,Lisa,CoOp,14,0,2,0,0,0,0
119,Lisa,Mishkas,13,0,0,0,0,9,0
119,Lisa,Nugget,16,0,0,1,0,0,0
120,Tommy,Delta,17,7,0,0,0,0,1
120,Tommy,CoOp,10,2,0,0,0,0,1
120,Tommy,Mishkas,16,3,0,0,0,0,1
120,Tommy,Nugget,13,5,3,0,0,0,3
120,Lisa,Delta,19,0,0,0,0,0,1
120,Lisa,CoOp,19,0,0,0,0,0,1
120,Lisa,Mishkas,8,6,0,0,0,0,1
120,Lisa,Nugget,9,7,0,0,0,0,2
121,Tommy,Delta,16,0,2,0,0,0,0
121,Tommy,CoOp,15,0,0,0,0,0,2
121,Tommy,Mishkas,18,0,1,0,0,0,2
121,Tommy,Nugget,18,0,0,0,0,0,0
121,Lisa,Delta,14,3,0,0,0,0,1
121,Lisa,CoOp,19,0,3,0,0,0,1
121,Lisa,Mishkas,16,0,0,2,0,17,1
121,Lisa,Nugget,25,0,2,0,0,0,5
122,Tommy,Delta,13,0,0,0,0,0,1
122,Tommy,CoOp,18,1,0,1,0,0,0
122,Tommy,Mishkas,10,1,1,2,0,0,1
122,Tommy,Nugget,11,4,0,0,0,0,0
122,Lisa,Delta,16,0,0,0,0,0,1
122,Lisa,CoOp,14,0,0,1,0,0,0
122,Lisa,Mishkas,16,0,0,2,0,0,0
122,Lisa,Nugget,18,0,2,0,0,0,0